verse,grammar,surah
وَهُوَ الَّذِي ذَرَأَكُمْ فِي الْأَرْضِ وَإِلَيْهِ تُحْشَرُونَ ,"﴿وَهُوَ الَّذِي ذَرَأَكُمْ﴾: مثل (وهو الذي أنشأ) في الآية السابقة، و(الكاف):
مفعول به ﴿فِي الْأَرْضِ﴾: جار ومجرور متعلق ب (ذرأكم). ﴿وَإِلَيْهِ﴾: (الواو): عاطفة. (إليه): جار ومجرور متعلق ب (تحشرون).أو [بحال من نائب الفاعل في (تحشرون)]. ﴿تُحْشَرُونَ﴾: فعل مضارع مبني للمفعول مرفوع بثبوت النون و(الواو): نائب فاعل، وجملة (إليه تحشرون) معطوفة على جملة (ذرأكم) لا محل لها.",سورة المؤمنون 
وَهُوَ الَّذِي يُحْيِي وَيُمِيتُ وَلَهُ اخْتِلَافُ اللَّيْلِ وَالنَّهَارِ أَفَلَا تَعْقِلُونَ ,"﴿وَهُوَ الَّذِي﴾: سبق إعرابها في الآية (٧٨). ﴿يُحْيِي﴾: فعل مضارع مرفوع بالضمة المقدرة والفاعل ضمير مستتر (هو)، والجملة صلة الموصول، وجملة (هو الذي ...) معطوفة على جملة (هو الذي ...) في الآية السابقة لا محل لها. ﴿وَيُمِيتُ﴾: (الواو): عاطفة. (يميت):
فعل مضارع مرفوع والفاعل ضمير مستتر (هو).وجملة: يميت ... معطوفة على جملة: يحيى ... لا محل لها ﴿وَلَهُ﴾: (الواو): عاطفة. (له): جار ومجرور متعلق بمحذوف خبر مقدم. ﴿اِخْتِلافُ﴾:
مبتدأ مؤخر مرفوع. ﴿اللَّيْلِ﴾: مضاف إليه. ﴿وَالنَّهارِ﴾: (الواو): عاطفة. (النهار): معطوف مجرور، وجملة (له اختلاف ...): لا محل لها معطوفة على جملة: (يحيي). ﴿أَفَلا﴾: (الهمزة):
استفهامية. (الفاء): عاطفة. (لا): نافية. ﴿تَعْقِلُونَ﴾: فعل مضارع مرفوع بثبوت النون و(الواو):
فاعل، والجملة لا محل لها معطوفة على استئناف مقدر.",سورة المؤمنون 
بَلْ قَالُوا مِثْلَ مَا قَالَ الْأَوَّلُونَ ,"﴿بَلْ﴾: للإضراب. ﴿قالُوا﴾: فعل ماض و(الواو): فاعل. ﴿مِثْلَ ما﴾: (مثل):
مفعول به منصوب. (ما): مضاف إليه، وجملة (بل قالوا ...) استئنافية. ﴿قالَ﴾: فعل ماض ﴿الْأَوَّلُونَ﴾: فاعل مرفوع بالواو، والجملة صلة الموصول (ما).",سورة المؤمنون 
قَالُوا أَئِذَا مِتْنَا وَكُنَّا تُرَابًا وَعِظَامًا أَئِنَّا لَمَبْعُوثُونَ ,"﴿قالُوا﴾: فعل ماض و(الواو): فاعل، والجملة استئنافية. ﴿أَإِذا﴾: (الهمزة):
استفهامية. (إذا): ظرف للزمن المستقبل. ﴿مِتْنا﴾: فعل ماض و(نا): فاعل، والجملة في محل جر مضاف إليه. ﴿وَكُنّا﴾: (الواو): عاطفة. (كنا): فعل ماض ناسخ. (نا): اسم كان ﴿تُرابًا﴾: خبر (كان): منصوب، وجملة (كنا ترابا): في محل جر معطوفة على جملة (متنا). ﴿وَعِظامًا﴾:
(الواو): عاطفة. (عظاما): معطوف منصوب، وجملة (أإذا متنا ...) في محل نصب مقول القول.
﴿أَإِنّا﴾: (الهمزة): استفهامية. (إنا). (إن): ناسخة ناصبة. (نا): اسم (إن). ﴿لَمَبْعُوثُونَ﴾: (اللام):
المزحلقة (مبعوثون): خبر (إن) مرفوع بالواو، وجملة ﴿أَإِنّا لَمَبْعُوثُونَ﴾: تفسيرية أو [استئنافية].",سورة المؤمنون 
لَقَدْ وُعِدْنَا نَحْنُ وَآبَاؤُنَا هَذَا مِن قَبْلُ إِنْ هَذَا إِلَّا أَسَاطِيرُ الْأَوَّلِينَ ,"﴿لَقَدْ﴾: (اللام) واقعة في جواب قسم مقدر، (قد): حرف تحقيق. ﴿وُعِدْنا﴾:
فعل ماض مبني للمفعول و(نا): نائب فاعل، وجملة ﴿وُعِدْنا﴾: لا محل لها جواب قسم مقدر.
﴿نَحْنُ﴾: توكيد لفظي. ﴿وَآباؤُنا﴾: (الواو): عاطفة. (آباؤنا): معطوف مرفوع. ﴿هذا﴾: اسم إشارة في محل نصب مفعول به. ﴿مِنْ قَبْلُ﴾: جار واسم مبنى على الضم فى محل جر متعلق ب (وعدنا).أو [بمحذوف صفة ل (آباؤنا)]. ﴿إِنْ﴾: نافية. ﴿هذا﴾: مبتدأ. ﴿إِلاّ﴾: للحصر.
﴿أَساطِيرُ﴾: خبر مرفوع. ﴿الْأَوَّلِينَ﴾: مضاف إليه مجرور بالياء، وجملة (إن هذا ...) استئنافية.",سورة المؤمنون 
قُل لِّمَنِ الْأَرْضُ وَمَن فِيهَا إِن كُنتُمْ تَعْلَمُونَ ,"﴿قُلْ﴾: فعل أمر والفاعل ضمير مستتر (أنت)، والجملة استئنافية. ﴿لِمَنِ﴾: جار ومجرور متعلق بمحذوف خبر مقدم ﴿الْأَرْضُ﴾: مبتدأ مؤخر مرفوع، وجملة ﴿لِمَنِ الْأَرْضُ﴾: في محل نصب مقول القول. ﴿وَمَنْ﴾: (الواو): عاطفة. (من): موصول معطوف على (الأرض).
﴿فِيها﴾: جار ومجرور متعلق بمحذوف صلة الموصول ﴿إِنْ﴾: شرطية جازمة. ﴿كُنْتُمْ﴾: فعل
ماض ناقص فى محل جزم فعل الشرط و(التاء): اسم (كان). ﴿تَعْلَمُونَ﴾: فعل مضارع مرفوع بثبوت النون و(الواو): فاعل، والجملة في محل نصب خبر (كان)، وجملة (كنتم ...) استئنافية وجواب الشرط محذوف يدل عليه ما قبله.",سورة المؤمنون 
سَيَقُولُونَ لِلَّهِ قُلْ أَفَلَا تَذَكَّرُونَ , ﴿سَيَقُولُونَ﴾: (السين): حرف استقبال. (يقولون): فعل مضارع مرفوع بثبوت النون و(الواو): فاعل والجملة استئنافية. ﴿لِلّهِ﴾: جار ومجرور متعلق بخبر لمبتدإ مقدر أي (الأرض لله)، وجملة [(الأرض) لله] في محل نصب مقول القول. ﴿قُلْ﴾: فعل أمر. ﴿أَفَلا تَذَكَّرُونَ﴾: مثل (أفلا تعقلون) فى الآية: ٨٠ وجملة (تذكرون) في محل نصب معطوفة على جملة مقول القول المحذوفة.,سورة المؤمنون 
قُلْ مَن رَّبُّ السَّمَاوَاتِ السَّبْعِ وَرَبُّ الْعَرْشِ الْعَظِيمِ ," ﴿قُلْ﴾: فعل أمر مبني والفاعل ضمير مستتر (أنت)، وجملة: قل ... استئنافية.
﴿مَنْ﴾: مبتدأ ﴿رَبُّ﴾: خبر مرفوع ﴿السَّماواتِ﴾: مضاف إليه مجرور. ﴿السَّبْعِ﴾: نعت مجرور، وجملة: ﴿مَنْ رَبُّ السَّماواتِ﴾: في محل نصب مقول القول. ﴿وَرَبُّ﴾: (الواو): عاطفة.
(رب): معطوف مرفوع ﴿الْعَرْشِ﴾: مضاف إليه مجرور و﴿الْعَظِيمِ﴾: نعت مجرور.",سورة المؤمنون 
سَيَقُولُونَ لِلَّهِ قُلْ أَفَلَا تَتَّقُونَ , ﴿سَيَقُولُونَ﴾: (السين): حرف استقبال. (يقولون): فعل مضارع مرفوع بثبوت النون و(الواو): فاعل والجملة استئنافية. ﴿لِلّهِ﴾: جار ومجرور متعلق بخبر لمبتدإ مقدر أي (الأرض لله)، وجملة [(الأرض) لله] في محل نصب مقول القول. ﴿قُلْ﴾: فعل أمر. ﴿أَفَلا تَذَكَّرُونَ﴾: مثل (أفلا تعقلون) فى الآية: ٨٠ وجملة (تذكرون) في محل نصب معطوفة على جملة مقول القول المحذوفة.,سورة المؤمنون 
قُلْ مَن بِيَدِهِ مَلَكُوتُ كُلِّ شَيْءٍ وَهُوَ يُجِيرُ وَلَا يُجَارُ عَلَيْهِ إِن كُنتُمْ تَعْلَمُونَ ,"﴿قُلْ مَنْ﴾: سبق إعرابها في الآية (٨٦). ﴿بِيَدِهِ﴾: جار ومجرور متعلق بمحذوف خبر مقدم. و(الهاء): مضاف إليه. ﴿مَلَكُوتُ﴾: مبتدأ مؤخر مرفوع. ﴿كُلِّ﴾:
مضاف إليه مجرور. ﴿شَيْءٍ﴾: مضاف إليه مجرور، وجملة ﴿بِيَدِهِ مَلَكُوتُ﴾ في محل رفع خبر المبتدأ. (من): وجملة (من بيده ...) في محل نصب مقول القول وجملة (قل من ...) استئنافية.
﴿وَهُوَ﴾: (الواو): عاطفة أو [حالية]. (هو): مبتدأ. ﴿يُجِيرُ﴾: فعل مضارع مرفوع والفاعل ضمير مستتر (هو)، وجملة (يجير) في محل رفع خبر المبتدأ (هو)، وجملة (هو يجير) معطوفة على جملة
الخبر في محل رفع أو [في محل نصب حال من الضمير في (بيده)]. ﴿وَلا﴾: (الواو): عاطفة.
(لا): نافية. ﴿يُجارُ﴾: فعل مضارع مبني للمفعول مرفوع ونائب الفاعل ضمير مستتر (هو).
﴿عَلَيْهِ﴾: جار ومجرور متعلق ب ﴿يُجارُ،﴾ وجملة ﴿يُجارُ عَلَيْهِ﴾: معطوفة على جملة.
﴿يُجِيرُ﴾: في محل رفع. ﴿إِنْ كُنْتُمْ تَعْلَمُونَ﴾ سبق إعرابها في الآية (٨٤).",سورة المؤمنون 
سَيَقُولُونَ لِلَّهِ قُلْ فَأَنَّى تُسْحَرُونَ ,﴿سَيَقُولُونَ لِلّهِ قُلْ﴾: سبق إعرابها الآية (٨٥). ﴿فَأَنّى﴾: (الفاء): رابطة لجواب شرط مقدر (أنى): اسم استفهام مبني في محل نصب حال من نائب الفاعل في (تسحرون)، ﴿تُسْحَرُونَ﴾: فعل مضارع مبني للمجهول مرفوع بثبوت النون و(الواو): نائب فاعل، وجملة ﴿فَأَنّى تُسْحَرُونَ﴾: في محل جزم جواب شرط مقدر، وجملة الشرط المقدر في محل نصب مقول القول.,سورة المؤمنون 
بَلْ أَتَيْنَاهُم بِالْحَقِّ وَإِنَّهُمْ لَكَاذِبُونَ ,"﴿بَلْ﴾: للإضراب. ﴿أَتَيْناهُمْ﴾: فعل ماض و(نا): فاعل و(الهاء): مفعول به ﴿بِالْحَقِّ﴾: جار ومجرور متعلق بحال من فاعل. ﴿أَتَيْناهُمْ﴾: وجملة ﴿بَلْ أَتَيْناهُمْ﴾: استئنافية.
﴿وَإِنَّهُمْ﴾: (الواو): حالية. (إنهم): ناسخة ناصبة و(الهاء): اسم (إن). ﴿لَكاذِبُونَ﴾: (اللام):
المزحلقة. (كاذبون): خبر (إن) مرفوع بالواو، وجملة (إنهم لكاذبون) في محل نصب حال من المفعول به في ﴿أَتَيْناهُمْ﴾.",سورة المؤمنون 
مَا اتَّخَذَ اللَّهُ مِن وَلَدٍ وَمَا كَانَ مَعَهُ مِنْ إِلَهٍ إِذًا لَّذَهَبَ كُلُّ إِلَهٍ بِمَا خَلَقَ وَلَعَلَا بَعْضُهُمْ عَلَى بَعْضٍ سُبْحَانَ اللَّهِ عَمَّا يَصِفُونَ ," ﴿مَا﴾: نافية. ﴿اِتَّخَذَ﴾: فعل ماض. ﴿اللهُ﴾: لفظ الجلالة فاعل مرفوع.
﴿مِنْ﴾: صلة لتوكيد المعنى. ﴿وَلَدٍ﴾: مجرور لفظا منصوب محلا بفتحة مقدرة مفعول به، وجملة (ما اتخذ) استئنافية. ﴿وَما﴾: (الواو): عاطفة. (ما): نافية. ﴿كانَ﴾: فعل ماض ناسخ. ﴿مَعَهُ﴾:
ظرف منصوب متعلق بمحذوف خبر (كان) مقدم و(الهاء): مضاف إليه. ﴿مِنْ﴾: صلة ﴿إِلهٍ﴾:
اسم (كان) مجرور لفظا مرفوع محلا بالضمة المقدرة، وجملة (ما كان ...) معطوفة على الجملة السابقة لا محل لها. ﴿إِذًا﴾: حرف جواب. ﴿لَذَهَبَ﴾: (اللام): واقعة في جواب (لو) مقدرة.
(ذهب) فعل ماض. ﴿كُلُّ﴾: فاعل مرفوع. ﴿إِلهٍ﴾: مضاف إليه مجرور وجملة ﴿لَذَهَبَ﴾ لا محل لها جواب شرط مقدر. ﴿بِما﴾: جار ومجرور متعلق ب (ذهب) أو [(ما) نكرة موصوفة في محل جر والجملة نعت له في محل جر]. ﴿خَلَقَ﴾: فعل ماض والفاعل ضمير مستتر (هو) وجملة (خلق ...) لا محل لها صلة الموصول. ﴿وَلَعَلا﴾: (الواو): عاطفة. (لعلا): مثل (لذهب).
﴿بَعْضُهُمْ﴾: فاعل مرفوع و(الهاء): مضاف إليه. ﴿عَلى بَعْضٍ﴾: جار ومجرور متعلق ب (علا)، وجملة (لعلا ...) لا محل لها معطوفة على جملة (لذهب ...). ﴿سُبْحانَ﴾: مفعول مطلق منصوب لفعل محذوف. ﴿اللهُ﴾: مضاف إليه، وجملة [(نسبح) سبحان] استئنافية. ﴿عَمّا﴾: جار ومجرور متعلق ب (سبحان)، ﴿يَصِفُونَ﴾: فعل مضارع مرفوع بثبوت النون و(الواو): فاعل، وجملة ﴿يَصِفُونَ﴾: صلة الموصول (ما).",سورة المؤمنون 
عَالِمِ الْغَيْبِ وَالشَّهَادَةِ فَتَعَالَى عَمَّا يُشْرِكُونَ ,"﴿عالِمِ﴾: بدل من لفظ الجلالة في قوله (سبحان الله): مجرور أو [نعت له مجرور أو خبر لمبتدإ محذوف مرفوع أي (هو عالم)]. ﴿الْغَيْبِ﴾: مضاف إليه مجرور.
﴿وَالشَّهادَةِ﴾: (الواو): عاطفة. (الشهادة) معطوف مجرور. ﴿فَتَعالى﴾: (الفاء): عاطفة. (تعالى) فعل ماض والفاعل ضمير مستتر (هو) وجملة ﴿فَتَعالى﴾: لا محل لها معطوفة على استئناف مقدر.
﴿عَمّا يُشْرِكُونَ﴾: مثل (عما يصفون) في الآية السابقة. و﴿عَمّا﴾: جار ومجرور متعلق ب (تعالى).",سورة المؤمنون 
قُل رَّبِّ إِمَّا تُرِيَنِّي مَا يُوعَدُونَ ,"﴿قُلْ﴾: فعل أمر والفاعل ضمير مستتر (أنت) وجملة (قل ...) استئنافية.
﴿رَبِّ﴾ منادى بحرف نداء محذوف، منصوب بالفتحة المقدرة لأنه مضاف إلى الياء المحذوفة وهى مضاف إليه. ﴿إِمّا﴾: مكونة من كلمتين. (إن): شرطية جازمة و(ما) صلتها. ﴿تُرِيَنِّي﴾: فعل مضارع مبني على الفتح والفاعل ضمير مستتر (أنت) و(النون) للوقاية و(الياء): مفعول به وجملة:
(إما تريني ...) جواب النداء. ﴿ما﴾: مفعول به ثان. ﴿يُوعَدُونَ﴾:: فعل مضارع مبني للمفعول مرفوع بثبوت النون و(الواو): نائب فاعل، وجملة ﴿يُوعَدُونَ﴾: صلة الموصول، وجملة (رب إما تريني ...) في محل نصب مقول القول.",سورة المؤمنون 
رَبِّ فَلَا تَجْعَلْنِي فِي الْقَوْمِ الظَّالِمِينَ ,﴿رَبِّ﴾: مثل الأولى وهي توكيد لها. ﴿فَلا﴾: (الفاء): رابطة لجواب الشرط (لا): ناهية. ﴿تَجْعَلْنِي﴾: فعل مضارع مجزوم و(النون): للوقاية. و(الياء): مفعول به والفاعل ضمير مستتر (أنت). ﴿فِي الْقَوْمِ﴾: جار ومجرور متعلق بمحذوف مفعول به ثان ل (تجعلني)، ﴿الظّالِمِينَ﴾: نعت مجرور، وجملة (فلا تجعلني ...) في محل جزم جواب الشرط مقترنة بالفاء، وجملة (رب) اعتراضية بين الشرط وجوابه.,سورة المؤمنون 
وَإِنَّا عَلَى أَن نُّرِيَكَ مَا نَعِدُهُمْ لَقَادِرُونَ ,"﴿وَإِنّا﴾: (الواو): استئنافية. (إنا): ناسخة ناصبة و(نا) ضمير مبني في محل نصب اسم (إن). ﴿عَلى﴾: حرف جر. ﴿أَنْ﴾: مصدرية ناصبة. ﴿نُرِيَكَ﴾: فعل مضارع منصوب بأن و(الكاف): مفعول به والفاعل ضمير مستتر (نحن) والمصدر المؤول ﴿أَنْ نُرِيَكَ﴾: في محل جر ب (على) والجار والمجرور متعلق ب (قادرون) ﴿ما﴾: مفعول به ثان ﴿نَعِدُهُمْ﴾: فعل مضارع مرفوع و(الهاء): مفعول به والفاعل ضمير مستتر (نحن)، وجملة (نعدهم): صلة الموصول. ﴿لَقادِرُونَ﴾:
(اللام) المزحلقة. (قادرون): خبر (إن) مرفوع بالواو، وجملة (وإنا على ...) استئنافية.",سورة المؤمنون 
ادْفَعْ بِالَّتِي هِيَ أَحْسَنُ السَّيِّئَةَ نَحْنُ أَعْلَمُ بِمَا يَصِفُونَ ,"﴿اِدْفَعْ﴾: فعل أمر والفاعل ضمير مستتر (أنت). ﴿بِالَّتِي﴾: جار ومجرور متعلق ب (ادفع). ﴿هِيَ﴾: مبتدأ و﴿أَحْسَنُ﴾: خبر مرفوع ﴿السَّيِّئَةَ﴾: مفعول به منصوب، وجملة (هي أحسن) صلة الموصول وجملة (ادفع ...) استئنافية. ﴿نَحْنُ﴾: مبتدأ. ﴿أَعْلَمُ﴾: خبر مرفوع ﴿بِما﴾: جار ومجرور متعلق ب (أعلم). ﴿يَصِفُونَ﴾: فعل مضارع مرفوع بثبوت النون و(الواو):
فاعل، وجملة (يصفون).صلة الموصول. (ما)، وجملة (نحن ...) استئنافية.",سورة المؤمنون 
وَقُل رَّبِّ أَعُوذُ بِكَ مِنْ هَمَزَاتِ الشَّيَاطِينِ , ﴿وَقُلْ رَبِّ﴾: (الواو): عاطفة. أو [استئنافية]. (قل رب) مر إعرابها فى الآية (٩٣). ﴿أَعُوذُ﴾: فعل مضارع مرفوع والفاعل ضمير مستتر (أنا)، وجملة (أعوذ ...) في محل نصب مقول القول ﴿بِكَ﴾: جار ومجرور متعلق ب (أعوذ). ﴿مِنْ هَمَزاتِ﴾: جار ومجرور متعلق ب: (أعوذ). ﴿الشَّياطِينِ﴾: مضاف إليه مجرور.,سورة المؤمنون 
وَأَعُوذُ بِكَ رَبِّ أَن يَحْضُرُونِ ,﴿وَأَعُوذُ بِكَ﴾: (الواو): عاطفة. (أعوذ بك): سبق إعرابها في الآية السابقة ومعطوفة عليها. ﴿رَبِّ﴾: منادى بحرف نداء محذوف منصوب بالفتحة المقدرة و(الياء): المحذوفة مضاف إليه. ﴿أَنْ﴾: مصدرية ناصبة. ﴿يَحْضُرُونِ﴾: فعل مضارع منصوب بحذف النون والتقدير (يحضرونني) و(الواو): فاعل و(النون) للوقاية. و(الياء) المحذوفة مضاف إليه والمصدر المؤول: (أن يحضرون ...) في محل جر بحرف جر محذوف متعلق ب: أعوذ.,سورة المؤمنون 
حَتَّى إِذَا جَاء أَحَدَهُمُ الْمَوْتُ قَالَ رَبِّ ارْجِعُونِ ," ﴿حَتّى﴾: ابتدائية أو [للغاية]. ﴿إِذا﴾: ظرف للزمن المستقبل تضمن معنى الشرط. ﴿جاءَ﴾: فعل ماض. ﴿أَحَدَهُمُ﴾: مفعول به مقدم منصوب. و(الهاء): مضاف إليه.
﴿الْمَوْتُ﴾: فاعل مؤخر مرفوع، وجملة (جاء ...) في محل جر مضاف إليه وجملة: (حتى إذا جاء ...) استئنافية. ﴿قالَ﴾: فعل ماض والفاعل مستتر (هو) والجملة جواب شرط غير جازم.
﴿رَبِّ﴾: سبق إعرابها في الآية السابقة، وجملة النداء اعتراضية. ﴿اِرْجِعُونِ﴾: فعل أمر مبني على حذف النون و(الواو): فاعل و(النون): للوقاية و(الياء): المحذوفة مفعول به والتقدير (ارجعونني)، وجملة ﴿اِرْجِعُونِ﴾: جواب النداء، والنداء وجوابه في محل نصب مقول القول.",سورة المؤمنون 
لَعَلِّي أَعْمَلُ صَالِحًا فِيمَا تَرَكْتُ كَلَّا إِنَّهَا كَلِمَةٌ هُوَ قَائِلُهَا وَمِن وَرَائِهِم بَرْزَخٌ إِلَى يَوْمِ يُبْعَثُونَ ,"﴿لَعَلِّي﴾: (لعل): حرف ترج و(الياء): اسم (لعل). ﴿أَعْمَلُ﴾: فعل مضارع مرفوع والفاعل ضمير مستتر (أنا)، وجملة (أعمل) في محل رفع خبر (لعل) وجملة: (لعلي أعمل ...) استئنافية للتعليل. ﴿صالِحًا﴾: مفعول به منصوب أو [نائب عن المفعول المطلق] أي أعمل عملا صالحا. ﴿فِيما﴾: جار ومجرور متعلق بنعت ل ﴿صالِحًا﴾ أو [أعمل]. ﴿تَرَكْتُ﴾:
فعل ماض و(التاء): فاعل، والجملة صلة الموصول (ما). ﴿كَلاّ﴾: حرف ردع. ﴿إِنَّها﴾: إن:
ناسخة. و(الهاء): ضمير في محل نصب اسم إن. ﴿كَلِمَةٌ﴾: خبر (إن) مرفوع، والجملة تعليلية.
﴿هُوَ﴾: مبتدأ. ﴿قائِلُها﴾: خبر مرفوع و(الهاء): مضاف إليه، وجملة (هو قائلها ...) في محل رفع نعت ل (كلمة). ﴿وَمِنْ وَرائِهِمْ﴾: (الواو): حالية أو [عاطفة]. (من ورائهم): جار ومجرور
متعلق بخبر مقدم و(الهاء): مضاف إليه. ﴿بَرْزَخٌ﴾: مبتدأ مؤخر مرفوع، وجملة (ومن ورائهم ...) في محل نصب حال من الضمير ﴿هُوَ﴾: أو [معطوفة على جملة (إنها كلمة ...) لا محل لها].
﴿إِلى يَوْمِ﴾: جار ومجرور متعلق بنعت ل: ﴿بَرْزَخٌ﴾. ﴿يُبْعَثُونَ﴾: فعل مضارع مبني للمفعول مرفوع بثبوت النون و(الواو): نائب فاعل، والجملة في محل جر مضاف إليه.",سورة المؤمنون 
فَإِذَا نُفِخَ فِي الصُّورِ فَلَا أَنسَابَ بَيْنَهُمْ يَوْمَئِذٍ وَلَا يَتَسَاءلُونَ ,"﴿فَإِذا﴾: (الفاء): استئنافية. (إذا): ظرف زمان للمستقبل خافض لشرطه منصوب بجوابه. ﴿نُفِخَ﴾: فعل ماض مبني للمفعول ﴿فِي الصُّورِ﴾: جار ومجرور نائب فاعل، وجملة (نفخ ...) في محل جر مضاف إليه. ﴿فَلا﴾: (الفاء): رابطة لجواب الشرط (لا).نافية للجنس. ﴿أَنْسابَ﴾: اسم (لا) مبني على الفتح في محل نصب. ﴿بَيْنَهُمْ﴾: ظرف منصوب متعلق بمحذوف خبر (لا) و(الهاء): مضاف إليه. ﴿يَوْمَئِذٍ﴾: (يوم): ظرف منصوب أو [مبني على الفتح] متعلق بالخبر المحذوف (إذ): ظرف مبني على السكون في محل جر مضاف إليه، وجملة (إذا نفخ ...) استئنافية، وجملة (فلا أنساب ...) لا محل لها جواب شرط غير جازم. ﴿وَلا﴾: (الواو):
عاطفة. (لا): نافية. ﴿يَتَساءَلُونَ﴾: فعل مضارع مرفوع بثبوت النون و(الواو): فاعل، والجملة لا محل لها معطوفة على جملة الجواب.",سورة المؤمنون 
فَمَن ثَقُلَتْ مَوَازِينُهُ فَأُوْلَئِكَ هُمُ الْمُفْلِحُونَ ,"﴿فَمَنْ﴾: (الفاء): عاطفة. (من) شرطية جازمة مبتدأ. ﴿ثَقُلَتْ﴾: فعل ماض و(التاء): للتأنيث ﴿مَوازِينُهُ﴾: فاعل مرفوع. و(الهاء): مضاف إليه، وجملة (ثقلت) في محل رفع خبر (من)، وجملة: فمن ثقلت) لا محل لها معطوفة على جملة (إذا نفخ ...). ﴿فَأُولئِكَ﴾:
(الفاء): رابطة لجواب الشرط. (أولئك): مبتدأ ﴿هُمُ﴾: ضمير فصل. ﴿الْمُفْلِحُونَ﴾: خبر مرفوع بالواو، وجملة (فأولئك ...) في محل جزم جواب الشرط مقترنة بالفاء.",سورة المؤمنون 
وَمَنْ خَفَّتْ مَوَازِينُهُ فَأُوْلَئِكَ الَّذِينَ خَسِرُوا أَنفُسَهُمْ فِي جَهَنَّمَ خَالِدُونَ ,"(الواو): عاطفة، ﴿وَمَنْ خَفَّتْ مَوازِينُهُ فَأُولئِكَ﴾ مثل إعراب جملة (من ثقلت موازينه فأولئك) في الآية السابقة، ﴿الَّذِينَ﴾: نعت ل: (أولئك)، ﴿خَسِرُوا﴾: فعل ماض و(الواو) فاعل. ﴿أَنْفُسَهُمْ﴾: مفعول به منصوب و(الهاء): مضاف إليه، وجملة (خسروا ...) صلة
الموصول. ﴿فِي جَهَنَّمَ﴾: جار ومجرور متعلق ب (خالدون)، ﴿خالِدُونَ﴾: خبر (أولئك).مرفوع بالواو أو [خبر لمبتدإ محذوف تقديره (هم الخالدون)، والجملة بدل من جملة الصلة لا محل لها]، وجملة (ومن خفت ...) لا محل لها معطوفة على جملة (فمن ثقلت ...).",سورة المؤمنون 
تَلْفَحُ وُجُوهَهُمُ النَّارُ وَهُمْ فِيهَا كَالِحُونَ ,﴿تَلْفَحُ﴾: فعل مضارع مرفوع. ﴿وُجُوهَهُمُ﴾: مفعول به مقدم منصوب و(الهاء): مضاف إليه، ﴿النّارُ﴾: فاعل مؤخر مرفوع، وجملة (تلفح وجوههم ...) في محل نصب حال أو [خبر ثان أو استئنافية]. ﴿وَهُمْ﴾: (الواو): عاطفة. أو [حالية]. (هم): مبتدأ. ﴿فِيها﴾: جار ومجرور متعلق ب (كالحون). ﴿كالِحُونَ﴾: خبر مرفوع بالواو، وجملة (هم ... كالحون) معطوفة على جملة الحال السابقة في محل نصب.,سورة المؤمنون 
أَلَمْ تَكُنْ آيَاتِي تُتْلَى عَلَيْكُمْ فَكُنتُم بِهَا تُكَذِّبُونَ ,"﴿أَلَمْ﴾: (الهمزة): استفهامية للتوبيخ (لم): جازمة. ﴿تَكُنْ﴾: فعل مضارع ناقص مجزوم. ﴿آياتِي﴾: اسم (كان) مرفوع بالضمة المقدرة و(الياء): مضاف إليه. ﴿تُتْلى﴾:
فعل مضارع مبني للمجهول مرفوع بالضمة المقدرة ونائب الفاعل ضمير مستتر (هي)، والجملة في محل نصب خبر كان. ﴿عَلَيْكُمْ﴾: جار ومجرور متعلق ب (تتلى)، وجملة (لم تكن) في محل نصب مقول القول. ﴿فَكُنْتُمْ﴾: (الفاء): عاطفة. (كنتم): كان: فعل ماض ناقص و(التاء): اسم (كان) مبني على الضم في محل رفع ﴿بِها﴾: جار ومجرور متعلق ب (تكذبون)، ﴿تُكَذِّبُونَ﴾: فعل مضارع مرفوع بثبوت النون و(الواو): فاعل، وجملة ﴿تُكَذِّبُونَ﴾ في محل نصب خبر (كان)، وجملة (فكنتم ...) في محل نصب معطوفة على جملة مقول القول.",سورة المؤمنون 
قَالُوا رَبَّنَا غَلَبَتْ عَلَيْنَا شِقْوَتُنَا وَكُنَّا قَوْمًا ضَالِّينَ ,"﴿قالُوا﴾: فعل ماض و(الواو): فاعل، والجملة استئنافية. ﴿رَبَّنا﴾ منادى منصوب و(نا): مضاف إليه، والجملة اعتراضية. ﴿غَلَبَتْ﴾: فعل ماض و(التاء): للتأنيث. ﴿عَلَيْنا﴾: جار ومجرور متعلق ب (غلبت). ﴿شِقْوَتُنا﴾: فاعل مرفوع و(نا): مضاف إليه، وجملة (غلبت ...) في محل نصب مقول القول أو [جواب للنداء لا محل لها، وجملة النداء وجوابه في محل نصب مقول القول]. ﴿وَكُنّا﴾: (الواو): عاطفة. (كنا): فعل ماض ناقص. و(نا): اسمها مبني في محل رفع.
﴿قَوْمًا﴾: خبر (كان) منصوب. ﴿ضالِّينَ﴾: نعت منصوب بالياء، وجملة (كنا ...) معطوفة على الجملة السابقة في محل نصب.",سورة المؤمنون 
